status,class,src_path,dst_path,mode_before,mode_after,width,height,error
normalized,Bug,/Users/arwa/Desktop/senior/palmvision/data/clean/Bug/Bug_000033.jpg,/Users/arwa/Desktop/senior/palmvision/data/normalized/Bug/Bug_000033.jpg,RGB,RGB,896,896,
normalized,Bug,/Users/arwa/Desktop/senior/palmvision/data/clean/Bug/Bug_000027.jpg,/Users/arwa/Desktop/senior/palmvision/data/normalized/Bug/Bug_000027.jpg,RGB,RGB,896,896,
normalized,Bug,/Users/arwa/Desktop/senior/palmvision/data/clean/Bug/Bug_000219.jpg,/Users/arwa/Desktop/senior/palmvision/data/normalized/Bug/Bug_000219.jpg,RGB,RGB,896,896,
normalized,Bug,/Users/arwa/Desktop/senior/palmvision/data/clean/Bug/Bug_000231.jpg,/Users/arwa/Desktop/senior/palmvision/data/normalized/Bug/Bug_000231.jpg,RGB,RGB,896,896,
normalized,Bug,/Users/arwa/Desktop/senior/palmvision/data/clean/Bug/Bug_000225.jpg,/Users/arwa/Desktop/senior/palmvision/data/normalized/Bug/Bug_000225.jpg,RGB,RGB,892,892,
normalized,Bug,/Users/arwa/Desktop/senior/palmvision/data/clean/Bug/Bug_000386.jpg,/Users/arwa/Desktop/senior/palmvision/data/normalized/Bug/Bug_000386.jpg,RGB,RGB,896,896,
normalized,Bug,/Users/arwa/Desktop/senior/palmvision/data/clean/Bug/Bug_000392.jpg,/Users/arwa/Desktop/senior/palmvision/data/normalized/Bug/Bug_000392.jpg,RGB,RGB,896,896,
normalized,Bug,/Users/arwa/Desktop/senior/palmvision/data/clean/Bug/Bug_000379.jpg,/Users/arwa/Desktop/senior/palmvision/data/normalized/Bug/Bug_000379.jpg,RGB,RGB,896,896,
normalized,Bug,/Users/arwa/Desktop/senior/palmvision/data/clean/Bug/Bug_000345.jpg,/Users/arwa/Desktop/senior/palmvision/data/normalized/Bug/Bug_000345.jpg,RGB,RGB,896,896,
normalized,Bug,/Users/arwa/Desktop/senior/palmvision/data/clean/Bug/Bug_000423.jpg,/Users/arwa/Desktop/senior/palmvision/data/normalized/Bug/Bug_000423.jpg,RGB,RGB,896,896,
normalized,Bug,/Users/arwa/Desktop/senior/palmvision/data/clean/Bug/Bug_000437.jpg,/Users/arwa/Desktop/senior/palmvision/data/normalized/Bug/Bug_000437.jpg,RGB,RGB,896,896,
normalized,Bug,/Users/arwa/Desktop/senior/palmvision/data/clean/Bug/Bug_000351.jpg,/Users/arwa/Desktop/senior/palmvision/data/normalized/Bug/Bug_000351.jpg,RGB,RGB,896,896,
normalized,Bug,/Users/arwa/Desktop/senior/palmvision/data/clean/Bug/Bug_000184.jpg,/Users/arwa/Desktop/senior/palmvision/data/normalized/Bug/Bug_000184.jpg,RGB,RGB,896,896,
normalized,Bug,/Users/arwa/Desktop/senior/palmvision/data/clean/Bug/Bug_000190.jpg,/Users/arwa/Desktop/senior/palmvision/data/normalized/Bug/Bug_000190.jpg,RGB,RGB,896,896,
normalized,Bug,/Users/arwa/Desktop/senior/palmvision/data/clean/Bug/Bug_000147.jpg,/Users/arwa/Desktop/senior/palmvision/data/normalized/Bug/Bug_000147.jpg,RGB,RGB,896,896,
normalized,Bug,/Users/arwa/Desktop/senior/palmvision/data/clean/Bug/Bug_000153.jpg,/Users/arwa/Desktop/senior/palmvision/data/normalized/Bug/Bug_000153.jpg,RGB,RGB,896,896,
normalized,Bug,/Users/arwa/Desktop/senior/palmvision/data/clean/Bug/Bug_000152.jpg,/Users/arwa/Desktop/senior/palmvision/data/normalized/Bug/Bug_000152.jpg,RGB,RGB,896,896,
normalized,Bug,/Users/arwa/Desktop/senior/palmvision/data/clean/Bug/Bug_000146.jpg,/Users/arwa/Desktop/senior/palmvision/data/normalized/Bug/Bug_000146.jpg,RGB,RGB,896,896,
