status,reason,src_path,dst_path,class,hash
kept,,/Users/arwa/Desktop/senior/palmvision/data/raw/Healthy/Healthy(639).jpg,/Users/arwa/Desktop/senior/palmvision/data/clean/Healthy/Healthy_000000.jpg,Healthy,0ed3c4d06459c87af8442b9b3eda584446bf09b908ade056c4fefb1eaa527f21
kept,,/Users/arwa/Desktop/senior/palmvision/data/raw/Healthy/Healthy(269).jpg,/Users/arwa/Desktop/senior/palmvision/data/clean/Healthy/Healthy_000001.jpg,Healthy,be1a9bda7d224ac38760949053f5de2a641d2bf68c385845d6a2bcbfa17301ae
kept,,/Users/arwa/Desktop/senior/palmvision/data/raw/Healthy/Healthy(793).JPG,/Users/arwa/Desktop/senior/palmvision/data/clean/Healthy/Healthy_000002.jpg,Healthy,349bed23ed1f11800701c42ed8bf836114a5e2faac724a3eb6686d62ff728769
kept,,/Users/arwa/Desktop/senior/palmvision/data/raw/Healthy/Healthy(286).jpg,/Users/arwa/Desktop/senior/palmvision/data/clean/Healthy/Healthy_000003.jpg,Healthy,1801c6280ec2a605adba99125cb9d58adc873a64660b93b9f973b1846b56144a
kept,,/Users/arwa/Desktop/senior/palmvision/data/raw/Healthy/Healthy(455).JPG,/Users/arwa/Desktop/senior/palmvision/data/clean/Healthy/Healthy_000004.jpg,Healthy,90c8aaa36348b364452711e0663dfb08e7d2d2cd34a162890eed365d85828b70
kept,,/Users/arwa/Desktop/senior/palmvision/data/raw/Healthy/Healthy(140).jpg,/Users/arwa/Desktop/senior/palmvision/data/clean/Healthy/Healthy_000005.jpg,Healthy,cf01404e4f605f0453ba01ae6c975cf8e70f6665ee10fe1bed7468e39ffa8806
kept,,/Users/arwa/Desktop/senior/palmvision/data/raw/Healthy/Healthy(510).jpg,/Users/arwa/Desktop/senior/palmvision/data/clean/Healthy/Healthy_000006.jpg,Healthy,001e13cd6700f3f9bb11cc7dadcb267b2eac658ff72cb2d91b2cc9d59ef6b2f1
kept,,/Users/arwa/Desktop/senior/palmvision/data/raw/Healthy/Healthy(394).JPG,/Users/arwa/Desktop/senior/palmvision/data/clean/Healthy/Healthy_000007.jpg,Healthy,57a96014a3b97582de8b079befd0cc2bace39a0bc1a3fee7c70a6e0c5502f16e
kept,,/Users/arwa/Desktop/senior/palmvision/data/raw/Healthy/Healthy(681).JPG,/Users/arwa/Desktop/senior/palmvision/data/clean/Healthy/Healthy_000008.jpg,Healthy,039b8a80ecfa9a8175177340a4171824e7d91c4c609d1e93aae123c292f55028
kept,,/Users/arwa/Desktop/senior/palmvision/data/raw/Healthy/Healthy(402).JPG,/Users/arwa/Desktop/senior/palmvision/data/clean/Healthy/Healthy_000009.jpg,Healthy,3de1168d1a901f828a45b8608c085a667c1f5ddf035b4be4548bad51c7110364
